title,year,budget,revenue,roi,success,avg_sentiment,n_reviews,genres_list
Babe,1995.0,30000000.0,254134910.0,8.471163666666667,1,,,"['Fantasy', 'Drama', 'Comedy', 'Family']"
Dead Man Walking,1995.0,11000000.0,39363635.0,3.5785122727272727,1,,,['Drama']
Mortal Kombat,1995.0,18000000.0,122195920.0,6.788662222222222,1,,,"['Action', 'Fantasy']"
To Die For,1995.0,20000000.0,21284514.0,1.0642257,1,,,"['Fantasy', 'Drama', 'Comedy', 'Thriller']"
How To Make An American Quilt,1995.0,10000000.0,23574130.0,2.357413,1,,,"['Drama', 'Romance']"
Se7en,1995.0,33000000.0,327311859.0,9.918541181818181,1,,,"['Crime', 'Mystery', 'Thriller']"
Pocahontas,1995.0,55000000.0,346079773.0,6.292359509090909,1,,,"['Adventure', 'Animation', 'Drama', 'Family']"
The Usual Suspects,1995.0,6000000.0,23341568.0,3.890261333333333,1,,,"['Drama', 'Crime', 'Thriller']"
Mighty Aphrodite,1995.0,15000000.0,6700000.0,0.44666666666666666,0,,,"['Comedy', 'Romance']"
Friday,1995.0,3500000.0,28215918.0,8.061690857142857,1,,,['Comedy']
From Dusk Till Dawn,1996.0,19000000.0,25836616.0,1.3598218947368421,1,,,"['Horror', 'Action', 'Thriller', 'Crime']"
Fair Game,1995.0,50000000.0,11534477.0,0.23068954,0,,,"['Action', 'Thriller', 'Romance']"
Big Bully,1996.0,15000000.0,2042530.0,0.13616866666666666,0,,,"['Comedy', 'Family']"
Screamers,1995.0,20000000.0,5781885.0,0.28909425,0,,,"['Horror', 'Science Fiction']"
Things to Do in Denver When You're Dead,1995.0,8000000.0,529766.0,0.06622075,0,,,"['Drama', 'Crime']"
White Squall,1996.0,38000000.0,10300000.0,0.2710526315789474,0,,,"['Action', 'Drama']"
Nick of Time,1995.0,8169363.0,8175346.0,1.000732370443081,1,,,"['Crime', 'Drama', 'Thriller']"
Mary Reilly,1996.0,47000000.0,12379402.0,0.2633915319148936,0,,,"['Drama', 'Horror', 'Thriller', 'Romance']"
Vampire in Brooklyn,1995.0,14000000.0,19800000.0,1.4142857142857144,1,,,"['Comedy', 'Horror', 'Romance']"
Broken Arrow,1996.0,50000000.0,150270147.0,3.00540294,1,,,"['Action', 'Adventure', 'Drama', 'Thriller']"
Bottle Rocket,1996.0,7000000.0,560069.0,0.08000985714285715,0,,,"['Comedy', 'Crime', 'Drama']"
Happy Gilmore,1996.0,12000000.0,41205099.0,3.43375825,1,,,['Comedy']
The Bridges of Madison County,1995.0,24000000.0,182016617.0,7.584025708333333,1,,,"['Drama', 'Romance']"
Braveheart,1995.0,72000000.0,210000000.0,2.9166666666666665,1,,,"['Action', 'Drama', 'History', 'War']"
Rumble in the Bronx,1995.0,7500000.0,32392047.0,4.3189396,1,,,"['Crime', 'Action', 'Comedy', 'Thriller']"
Steal Big Steal Little,1995.0,25000000.0,6278139.0,0.25112556,0,,,"['Comedy', 'Drama']"
Boomerang,1992.0,40000000.0,70100000.0,1.7525,1,,,"['Comedy', 'Romance']"
Flirting with Disaster,1996.0,7000000.0,14702438.0,2.100348285714286,1,,,"['Comedy', 'Romance']"
Jade,1995.0,50000000.0,9851610.0,0.1970322,0,,,"['Action', 'Thriller', 'Mystery', 'Romance']"
The Birdcage,1996.0,31000000.0,185260553.0,5.976146870967742,1,,,['Comedy']
Bad Boys,1995.0,19000000.0,141407024.0,7.442474947368421,1,,,"['Action', 'Comedy', 'Crime', 'Thriller']"
An Awfully Big Adventure,1995.0,4000000.0,851545.0,0.21288625,0,,,"['Romance', 'Drama', 'Comedy']"
Apollo 13,1995.0,52000000.0,355237933.0,6.831498711538462,1,,,['Drama']
Rob Roy,1995.0,28000000.0,31596911.0,1.1284611071428572,1,,,['Adventure']
Batman Forever,1995.0,100000000.0,336529144.0,3.36529144,1,,,"['Action', 'Crime', 'Fantasy']"
Blue in the Face,1995.0,2000000.0,1275000.0,0.6375,0,,,['Comedy']
Canadian Bacon,1995.0,11000000.0,178104.0,0.016191272727272728,0,,,"['Action', 'Comedy']"
Casper,1995.0,50000000.0,287928194.0,5.75856388,1,0.13027073170731707,41.0,"['Fantasy', 'Comedy', 'Family']"
Clockers,1995.0,25000000.0,13071518.0,0.52286072,0,-0.0011017241379310317,58.0,"['Mystery', 'Crime', 'Drama']"
Congo,1995.0,50000000.0,152022101.0,3.04044202,1,0.0704470588235294,51.0,"['Action', 'Adventure', 'Drama', 'Mystery', 'Science Fiction', 'Thriller']"
Crimson Tide,1995.0,53000000.0,157387195.0,2.969569716981132,1,,,"['Action', 'Thriller', 'Drama']"
Desperado,1995.0,7000000.0,25405445.0,3.6293492857142855,1,,,"['Thriller', 'Action', 'Crime']"
Devil in a Blue Dress,1995.0,27000000.0,16140822.0,0.5978082222222222,0,,,"['Drama', 'Mystery', 'Thriller']"
Die Hard: With a Vengeance,1995.0,90000000.0,366101666.0,4.067796288888889,1,,,"['Action', 'Thriller']"
First Knight,1995.0,55000000.0,127600435.0,2.320007909090909,1,,,"['Action', 'Adventure', 'Drama', 'Romance']"
Hackers,1995.0,20000000.0,7563728.0,0.3781864,0,,,"['Action', 'Crime', 'Thriller', 'Drama']"
Johnny Mnemonic,1995.0,25000000.0,19075720.0,0.7630288,0,,,"['Adventure', 'Action', 'Drama', 'Science Fiction', 'Thriller']"
Judge Dredd,1995.0,90000000.0,113493481.0,1.2610386777777778,1,,,['Science Fiction']
Kids,1995.0,1500000.0,7412216.0,4.941477333333333,1,,,"['Drama', 'Crime']"
Living in Oblivion,1995.0,500000.0,1148752.0,2.297504,1,,,"['Drama', 'Comedy']"
Mallrats,1995.0,6000000.0,2122561.0,0.35376016666666665,0,,,"['Romance', 'Comedy']"
Mighty Morphin Power Rangers: The Movie,1995.0,15000000.0,66000000.0,4.4,1,,,"['Action', 'Adventure', 'Science Fiction', 'Family', 'Fantasy']"
Mute Witness,1995.0,2.0,1.0,0.5,0,,,"['Thriller', 'Foreign']"
The Net,1995.0,22000000.0,110627965.0,5.028543863636363,1,,,"['Crime', 'Drama', 'Mystery', 'Thriller', 'Action']"
Party Girl,1995.0,150000.0,472370.0,3.1491333333333333,1,,,['Comedy']
The Prophecy,1995.0,8.0,16.0,2.0,1,,,"['Fantasy', 'Horror', 'Thriller']"
The Scarlet Letter,1995.0,50000000.0,10382407.0,0.20764814,0,,,"['Drama', 'History', 'Romance']"
Showgirls,1995.0,45000000.0,20350754.0,0.4522389777777778,0,,,['Drama']
Smoke,1995.0,7000000.0,8349430.0,1.1927757142857143,1,,,"['Comedy', 'Drama']"
Species,1995.0,35000000.0,113374103.0,3.2392600857142857,1,,,"['Science Fiction', 'Horror', 'Action']"
Strange Days,1995.0,42000000.0,7959291.0,0.18950692857142856,0,,,"['Crime', 'Drama', 'Science Fiction', 'Thriller']"
The Tie That Binds,1995.0,14000000.0,5780000.0,0.41285714285714287,0,,,['Thriller']
Under Siege 2: Dark Territory,1995.0,60000000.0,104324083.0,1.7387347166666667,1,,,"['Action', 'Thriller']"
A Walk in the Clouds,1995.0,20000000.0,50012507.0,2.50062535,1,,,"['Drama', 'Romance']"
Waterworld,1995.0,175000000.0,264218220.0,1.5098184,1,,,"['Adventure', 'Action']"
Burnt by the Sun,1994.0,2800000.0,2616503.0,0.9344653571428572,0,,,['Drama']
Before Sunrise,1995.0,2500000.0,5535405.0,2.214162,1,,,"['Drama', 'Romance']"
Billy Madison,1995.0,10000000.0,26488734.0,2.6488734,1,,,['Comedy']
Boys on the Side,1995.0,21000000.0,23450000.0,1.1166666666666667,1,,,"['Comedy', 'Drama']"
Clerks,1994.0,27000.0,3151130.0,116.70851851851852,1,0.3020333333333334,57.0,['Comedy']
Don Juan DeMarco,1994.0,25000000.0,22200000.0,0.888,0,,,"['Romance', 'Drama', 'Comedy']"
Disclosure,1994.0,55000000.0,214015089.0,3.891183436363636,1,0.12852950819672132,61.0,"['Drama', 'Thriller', 'Crime', 'Mystery', 'Romance']"
Dumb and Dumber,1994.0,16000000.0,247275374.0,15.454710875,1,,,['Comedy']
Ed Wood,1994.0,18000000.0,5887457.0,0.32708094444444447,0,,,"['Comedy', 'Drama', 'History']"
Hideaway,1995.0,15000000.0,12201255.0,0.813417,0,,,"['Drama', 'Thriller']"
Hoop Dreams,1994.0,700000.0,7830611.0,11.186587142857142,1,,,['Documentary']
Heavenly Creatures,1994.0,5000000.0,3049135.0,0.609827,0,,,"['Drama', 'Fantasy']"
Houseguest,1995.0,10500000.0,26325256.0,2.507167238095238,1,,,"['Comedy', 'Family']"
Interview with the Vampire,1994.0,60000000.0,223664608.0,3.7277434666666664,1,,,"['Horror', 'Romance']"
Jefferson in Paris,1995.0,14000000.0,2474000.0,0.1767142857142857,0,,,"['Drama', 'Romance']"
Junior,1994.0,60000000.0,37000000.0,0.6166666666666667,0,,,"['Comedy', 'Family', 'Romance']"
Like Water for Chocolate,1992.0,2000000.0,21665468.0,10.832734,1,,,"['Drama', 'Romance']"
Legends of the Fall,1994.0,30000000.0,160638883.0,5.354629433333334,1,,,"['Adventure', 'Drama', 'Romance', 'War']"
Losing Isaiah,1995.0,17000000.0,7603766.0,0.44728035294117646,0,,,['Drama']
Mary Shelley's Frankenstein,1994.0,45000000.0,112006296.0,2.4890288,1,,,"['Drama', 'Horror', 'Science Fiction', 'Romance']"
Miami Rhapsody,1995.0,6.0,5.0,0.8333333333333334,0,,,"['Comedy', 'Romance']"
Nell,1994.0,31000000.0,106683817.0,3.4414134516129034,1,,,"['Drama', 'Thriller']"
Natural Born Killers,1994.0,34000000.0,50282766.0,1.4789048823529412,1,,,"['Crime', 'Thriller', 'Drama']"
Outbreak,1995.0,50000000.0,189859560.0,3.7971912,1,,,"['Action', 'Drama', 'Science Fiction', 'Thriller']"
Leon: The Professional,1994.0,16000000.0,45284974.0,2.830310875,1,,,"['Thriller', 'Crime', 'Drama']"
The Perez Family,1995.0,11000000.0,2832826.0,0.25752963636363635,0,,,"['Comedy', 'Drama', 'Romance']"
Pulp Fiction,1994.0,8000000.0,213928762.0,26.74109525,1,,,"['Thriller', 'Crime']"
Pushing Hands,1992.0,400000.0,152322.0,0.380805,0,,,"['Comedy', 'Drama']"
The Quick and the Dead,1995.0,32000000.0,18552460.0,0.579764375,0,,,"['Action', 'Western']"
Roommates,1995.0,22000000.0,12400000.0,0.5636363636363636,0,,,"['Drama', 'Comedy']"
Prêt-à-Porter,1994.0,15000000.0,11300653.0,0.7533768666666667,0,,,"['Drama', 'Comedy']"
The Swan Princess,1994.0,35000000.0,9771658.0,0.27919022857142856,0,,,['Animation']
The Specialist,1994.0,45000000.0,170362582.0,3.7858351555555556,1,,,"['Action', 'Thriller']"
Stargate,1994.0,55000000.0,196567262.0,3.5739502181818184,1,,,"['Action', 'Adventure', 'Science Fiction']"
The Santa Clause,1994.0,22000000.0,189833357.0,8.628788954545454,1,,,"['Fantasy', 'Drama', 'Comedy', 'Family']"
The Shawshank Redemption,1994.0,25000000.0,28341469.0,1.13365876,1,,,"['Drama', 'Crime']"
Tank Girl,1995.0,25000000.0,4064495.0,0.1625798,0,,,"['Action', 'Comedy', 'Fantasy', 'Science Fiction']"
Star Trek: Generations,1994.0,38000000.0,120000000.0,3.1578947368421053,1,,,"['Science Fiction', 'Action', 'Adventure', 'Thriller']"
Tales from the Hood,1995.0,6000000.0,12000000.0,2.0,1,,,"['Crime', 'Horror', 'Thriller']"
What's Eating Gilbert Grape,1993.0,11000000.0,10032765.0,0.9120695454545454,0,,,"['Romance', 'Drama']"
Virtuosity,1995.0,30000000.0,24048000.0,0.8016,0,,,"['Action', 'Crime', 'Science Fiction', 'Thriller']"
While You Were Sleeping,1995.0,17000000.0,182057016.0,10.709236235294117,1,,,"['Comedy', 'Drama', 'Romance']"
Muriel's Wedding,1994.0,3000000.0,15119639.0,5.039879666666667,1,,,"['Drama', 'Comedy', 'Romance']"
Ace Ventura: Pet Detective,1994.0,15000000.0,107217396.0,7.1478264,1,,,"['Comedy', 'Mystery']"
Bitter Moon,1992.0,5000000.0,1862805.0,0.372561,0,,,"['Thriller', 'Drama', 'Romance']"
Clear and Present Danger,1994.0,62000000.0,215887717.0,3.482059951612903,1,,,"['Action', 'Drama', 'Thriller']"
The Client,1994.0,45000000.0,117615211.0,2.6136713555555557,1,,,"['Drama', 'Thriller', 'Crime', 'Mystery']"
The Crow,1994.0,15000000.0,94000000.0,6.266666666666667,1,,,"['Fantasy', 'Action', 'Thriller']"
The Flintstones,1994.0,46000000.0,341631208.0,7.426765391304348,1,,,"['Fantasy', 'Comedy', 'Family']"
Forrest Gump,1994.0,55000000.0,677945399.0,12.326279981818182,1,,,"['Comedy', 'Drama', 'Romance']"
Four Weddings and a Funeral,1994.0,6000000.0,254700832.0,42.45013866666667,1,,,"['Comedy', 'Drama', 'Romance']"
I Love Trouble,1994.0,45000000.0,61947267.0,1.3766059333333334,1,,,"['Action', 'Comedy', 'Romance']"
The Lion King,1994.0,45000000.0,788241776.0,17.516483911111113,1,,,"['Family', 'Animation', 'Drama']"
Little Buddha,1993.0,35000000.0,4858139.0,0.13880397142857143,0,,,"['Drama', 'History']"
New Nightmare,1994.0,14000000.0,18090181.0,1.2921557857142858,1,,,"['Horror', 'Thriller', 'Mystery', 'Fantasy']"
The Mask,1994.0,23000000.0,351583407.0,15.286235086956522,1,,,"['Romance', 'Comedy', 'Crime', 'Fantasy']"
The Naked Gun 33⅓: The Final Insult,1994.0,30000000.0,51132598.0,1.7044199333333334,1,,,"['Comedy', 'Crime']"
Reality Bites,1994.0,11500000.0,20079850.0,1.7460739130434784,1,,,['Drama']
Red Rock West,1993.0,8000000.0,2000000.0,0.25,0,,,"['Crime', 'Drama', 'Thriller']"
Speed,1994.0,30000000.0,350448145.0,11.681604833333333,1,,,"['Action', 'Adventure', 'Crime']"
Timecop,1994.0,27000000.0,101646581.0,3.764688185185185,1,,,"['Thriller', 'Science Fiction', 'Action', 'Crime']"
True Lies,1994.0,115000000.0,378882411.0,3.2946296608695653,1,,,"['Action', 'Thriller']"
Wyatt Earp,1994.0,63000000.0,25052000.0,0.39765079365079364,0,,,"['Drama', 'Action', 'Western']"
A Low Down Dirty Shame,1994.0,10000000.0,29392418.0,2.9392418,1,,,"['Action', 'Comedy', 'Crime']"
Jason's Lyric,1994.0,7000000.0,20851521.0,2.9787887142857143,1,,,"['Crime', 'Drama', 'Romance']"
Street Fighter,1994.0,35000000.0,99423521.0,2.8406720285714284,1,,,"['Action', 'Adventure', 'Thriller']"
Highlander: The Final Dimension,1994.0,26000000.0,36800000.0,1.4153846153846155,1,,,"['Action', 'Fantasy', 'Science Fiction']"
In the Mouth of Madness,1994.0,8000000.0,8946600.0,1.118325,1,,,"['Horror', 'Mystery', 'Thriller']"
The Age of Innocence,1993.0,34000000.0,32255440.0,0.9486894117647059,0,,,"['Drama', 'Romance']"
The Air Up There,1994.0,17080000.0,21011500.0,1.2301814988290398,1,,,"['Comedy', 'Family']"
Beverly Hills Cop III,1994.0,50000000.0,119208989.0,2.38417978,1,,,"['Action', 'Comedy', 'Crime']"
Body Snatchers,1993.0,13000000.0,428868.0,0.032989846153846154,0,,,"['Horror', 'Science Fiction', 'Thriller']"
A Bronx Tale,1993.0,22000000.0,17287898.0,0.7858135454545454,0,,,"['Drama', 'Crime']"
Calendar Girl,1993.0,13000000.0,2570145.0,0.19770346153846155,0,,,"['Drama', 'Comedy']"
Carlito's Way,1993.0,30000000.0,36516012.0,1.2172004,1,,,"['Action', 'Crime', 'Drama', 'Thriller']"
Cliffhanger,1993.0,70000000.0,255000211.0,3.642860157142857,1,,,"['Action', 'Adventure', 'Thriller']"
Color of Night,1994.0,40000000.0,19726050.0,0.49315125,0,,,"['Drama', 'Mystery', 'Romance', 'Thriller']"
Dazed and Confused,1993.0,6900000.0,7993039.0,1.1584114492753623,1,,,"['Comedy', 'Drama']"
Demolition Man,1993.0,57000000.0,159055768.0,2.7904520701754385,1,,,"['Crime', 'Action', 'Science Fiction']"
For Love or Money,1993.0,30000000.0,11146270.0,0.3715423333333333,0,,,"['Comedy', 'Romance']"
The Firm,1993.0,42000000.0,270248367.0,6.434484928571429,1,,,"['Drama', 'Mystery', 'Thriller']"
Free Willy,1993.0,20000000.0,153698625.0,7.68493125,1,,,"['Family', 'Adventure']"
The Fugitive,1993.0,44000000.0,368875760.0,8.38354,1,,,"['Adventure', 'Action', 'Thriller', 'Crime', 'Mystery']"
Geronimo: An American Legend,1993.0,35000000.0,18635620.0,0.5324462857142858,0,,,"['History', 'Action', 'Drama', 'Western']"
Hard Target,1993.0,18000000.0,74189677.0,4.121648722222222,1,,,"['Action', 'Adventure', 'Crime', 'Thriller']"
Hot Shots! Part Deux,1993.0,25000000.0,133752825.0,5.350113,1,,,"['Action', 'Comedy', 'War']"
In the Line of Fire,1993.0,40000000.0,176997168.0,4.4249292,1,,,"['Action', 'Drama', 'Thriller', 'Crime', 'Mystery']"
In the Name of the Father,1993.0,13000000.0,65796862.0,5.0612970769230765,1,,,['Drama']
Jurassic Park,1993.0,63000000.0,920100000.0,14.604761904761904,1,,,"['Adventure', 'Science Fiction']"
Kalifornia,1993.0,9000000.0,2395231.0,0.2661367777777778,0,,,"['Thriller', 'Crime']"
Killing Zoe,1993.0,1500000.0,418961.0,0.27930733333333335,0,,,"['Action', 'Crime', 'Drama', 'Thriller']"
Last Action Hero,1993.0,85000000.0,137298489.0,1.6152763411764706,1,,,"['Adventure', 'Fantasy', 'Action', 'Comedy', 'Family']"
Manhattan Murder Mystery,1993.0,13500000.0,11285588.0,0.8359694814814815,0,,,"['Comedy', 'Mystery']"
Menace II Society,1993.0,3500000.0,27900000.0,7.9714285714285715,1,,,"['Drama', 'Action', 'Crime']"
Executive Decision,1996.0,55000000.0,121969216.0,2.217622109090909,1,,,"['Action', 'Adventure', 'Drama', 'Thriller']"
Mrs. Doubtfire,1993.0,25000000.0,441286195.0,17.6514478,1,,,"['Comedy', 'Drama', 'Family']"
The Next Karate Kid,1994.0,12000000.0,15826984.0,1.3189153333333334,1,,,['Adventure']
No Escape,1994.0,20000000.0,15340000.0,0.767,0,,,"['Action', 'Drama', 'Science Fiction', 'Thriller']"
A Perfect World,1993.0,30000000.0,135130999.0,4.504366633333333,1,,,"['Crime', 'Drama', 'Thriller']"
Philadelphia,1993.0,26000000.0,206678440.0,7.949170769230769,1,,,['Drama']
The Piano,1993.0,7000000.0,116700000.0,16.67142857142857,1,,,"['Drama', 'Romance']"
Poetic Justice,1993.0,14000000.0,27515786.0,1.9654132857142856,1,,,"['Drama', 'Romance']"
The Ref,1994.0,11000000.0,11439193.0,1.0399266363636364,1,,,['Comedy']
The Remains of the Day,1993.0,11500000.0,23237911.0,2.0206879130434783,1,,,"['Drama', 'Romance']"
Renaissance Man,1994.0,40000000.0,24332324.0,0.6083081,0,,,"['Comedy', 'War']"
RoboCop 3,1993.0,22000000.0,10696210.0,0.4861913636363636,0,,,"['Action', 'Adventure', 'Crime', 'Science Fiction', 'Thriller']"
Robin Hood: Men in Tights,1993.0,20000000.0,35739755.0,1.78698775,1,,,['Comedy']
Romeo Is Bleeding,1993.0,11500000.0,3275585.0,0.2848334782608696,0,,,"['Action', 'Crime', 'Drama', 'Thriller']"
Ruby in Paradise,1993.0,800000.0,1001437.0,1.25179625,1,,,"['Drama', 'Romance']"
Rudy,1993.0,12000000.0,22750363.0,1.8958635833333333,1,,,['Drama']
Schindler's List,1993.0,22000000.0,321365567.0,14.607525772727273,1,,,"['Drama', 'History', 'War']"
Serial Mom,1994.0,13000000.0,7820688.0,0.6015913846153846,0,,,"['Comedy', 'Crime', 'Horror', 'Thriller']"
The Shadow,1994.0,25000000.0,48063435.0,1.9225374,1,,,"['Adventure', 'Fantasy', 'Action', 'Thriller', 'Science Fiction']"
Sleepless in Seattle,1993.0,21000000.0,227799884.0,10.847613523809525,1,,,"['Comedy', 'Drama', 'Romance']"
Sliver,1993.0,40000000.0,116300000.0,2.9075,1,,,"['Drama', 'Thriller']"
Blade Runner,1982.0,28000000.0,33139618.0,1.1835577857142856,1,,,"['Science Fiction', 'Drama', 'Thriller']"
So I Married an Axe Murderer,1993.0,20000000.0,11585483.0,0.57927415,0,,,"['Comedy', 'Crime', 'Romance']"
Super Mario Bros.,1993.0,48000000.0,20915465.0,0.4357388541666667,0,,,"['Adventure', 'Comedy', 'Family', 'Fantasy']"
Surviving the Game,1994.0,7400000.0,7690013.0,1.0391909459459459,1,,,"['Action', 'Adventure', 'Thriller', 'Crime']"
Terminal Velocity,1994.0,50000000.0,16478900.0,0.329578,0,,,"['Action', 'Thriller']"
The Nightmare Before Christmas,1993.0,18000000.0,75634409.0,4.201911611111111,1,,,"['Fantasy', 'Animation', 'Family']"
The Three Musketeers,1993.0,30000000.0,53898845.0,1.7966281666666666,1,,,"['Action', 'Adventure', 'Comedy']"
Tombstone,1993.0,25000000.0,56505065.0,2.2602026,1,,,"['Action', 'Adventure', 'Drama', 'History', 'Western']"
True Romance,1993.0,12500000.0,12281551.0,0.98252408,0,,,"['Action', 'Thriller', 'Crime', 'Romance']"
The Pagemaster,1994.0,27000000.0,13670688.0,0.5063217777777778,0,,,"['Fantasy', 'Science Fiction', 'Family', 'Animation']"
Home Alone,1990.0,18000000.0,476684675.0,26.482481944444444,1,,,"['Comedy', 'Family']"
Ghost,1990.0,22000000.0,505000000.0,22.954545454545453,1,,,"['Fantasy', 'Drama', 'Thriller', 'Mystery', 'Romance']"
Aladdin,1992.0,28000000.0,504050219.0,18.001793535714285,1,0.34124297297297296,370.0,"['Animation', 'Family', 'Comedy', 'Adventure', 'Fantasy', 'Romance']"
Terminator 2: Judgment Day,1991.0,100000000.0,520000000.0,5.2,1,,,"['Action', 'Thriller', 'Science Fiction']"
Dances with Wolves,1990.0,22000000.0,424208848.0,19.282220363636362,1,,,"['Adventure', 'Drama', 'Western']"
Batman,1989.0,35000000.0,411348924.0,11.7528264,1,,,"['Fantasy', 'Action']"
The Silence of the Lambs,1991.0,19000000.0,272742922.0,14.354890631578947,1,,,"['Crime', 'Drama', 'Thriller']"
Beauty and the Beast,1991.0,25000000.0,377350553.0,15.09402212,1,,,"['Romance', 'Family', 'Animation', 'Fantasy', 'Music']"
Pretty Woman,1990.0,14000000.0,463000000.0,33.07142857142857,1,,,"['Romance', 'Comedy']"
Fargo,1996.0,7000000.0,60611975.0,8.65885357142857,1,,,"['Crime', 'Drama', 'Thriller']"
Hellraiser: Bloodline,1996.0,4000000.0,16675000.0,4.16875,1,,,"['Horror', 'Thriller', 'Science Fiction']"
Primal Fear,1996.0,30000000.0,102616183.0,3.4205394333333334,1,,,"['Crime', 'Drama', 'Mystery', 'Thriller']"
Girl 6,1996.0,12000000.0,4939939.0,0.41166158333333336,0,,,['Comedy']
Courage Under Fire,1996.0,46000000.0,100860818.0,2.1926264782608698,1,,,"['Drama', 'Thriller', 'Mystery', 'War']"
Mission: Impossible,1996.0,80000000.0,457696359.0,5.7212044875,1,,,"['Adventure', 'Action', 'Thriller']"
DragonHeart,1996.0,57000000.0,115267375.0,2.022234649122807,1,0.05724,30.0,['Fantasy']
James and the Giant Peach,1996.0,38000000.0,28921264.0,0.7610858947368421,0,,,"['Adventure', 'Animation', 'Family']"
Faithful,1996.0,13000000.0,9789900.0,0.7530692307692308,0,,,"['Comedy', 'Crime', 'Drama']"
Space Jam,1996.0,80000000.0,250200000.0,3.1275,1,,,"['Animation', 'Comedy', 'Drama', 'Family', 'Fantasy']"
Mrs. Winterbourne,1996.0,25000000.0,10070000.0,0.4028,0,,,"['Comedy', 'Romance', 'Drama']"
The Quest,1996.0,30000000.0,57400547.0,1.9133515666666667,1,,,"['Action', 'Adventure']"
Oliver & Company,1988.0,31000000.0,74151346.0,2.3919789032258065,1,,,"['Animation', 'Comedy', 'Family']"
Flipper,1996.0,25530000.0,20080020.0,0.7865264394829612,0,,,"['Adventure', 'Family']"
The Horseman on the Roof,1995.0,35000000.0,15000000.0,0.42857142857142855,0,,,"['War', 'Adventure', 'Drama', 'Romance']"
The Craft,1996.0,15000000.0,24769466.0,1.6512977333333334,1,,,"['Drama', 'Fantasy', 'Horror', 'Thriller']"
Original Gangstas,1996.0,4800000.0,3014000.0,0.6279166666666667,0,,,"['Action', 'Drama', 'Crime', 'Thriller']"
The Rock,1996.0,75000000.0,335062621.0,4.467501613333333,1,,,"['Action', 'Adventure', 'Thriller']"
Twister,1996.0,92000000.0,494471524.0,5.374690478260869,1,,,"['Action', 'Adventure', 'Drama']"
The Arrival,1996.0,25000000.0,14048372.0,0.56193488,0,,,"['Action', 'Mystery', 'Science Fiction', 'Thriller']"
The Phantom,1996.0,45000000.0,17300889.0,0.3844642,0,,,"['Adventure', 'Action']"
Striptease,1996.0,50000000.0,113309743.0,2.26619486,1,,,"['Drama', 'Thriller', 'Crime']"
Jack,1996.0,45000000.0,58620973.0,1.3026882888888889,1,,,"['Comedy', 'Drama', 'Science Fiction']"
Trainspotting,1996.0,4000000.0,16491080.0,4.12277,1,,,"['Drama', 'Crime']"
Independence Day,1996.0,75000000.0,816969268.0,10.892923573333332,1,,,"['Action', 'Adventure', 'Science Fiction']"
The Fan,1996.0,55000000.0,18626419.0,0.33866216363636364,0,,,"['Drama', 'Mystery', 'Thriller']"
The Hunchback of Notre Dame,1996.0,100000000.0,100138851.0,1.00138851,1,,,"['Drama', 'Animation', 'Family']"
